City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,miraflores,19.22,-98.81,69.8,30,5,13.87,MX,1609366103
134,saint-philippe,-21.36,55.77,77.0,78,20,23.04,RE,1609366103
135,cayambe,0.05,-78.13,60.8,82,75,11.41,EC,1609366104
136,rincon,32.3,-81.24,69.8,64,90,6.93,US,1609366104
137,bumbesti-jiu,45.17,23.4,44.89,81,98,3.42,RO,1609366104
138,ampanihy,-24.7,44.75,81.05,41,0,9.8,MG,1609366104
139,paramonga,-10.67,-77.83,71.67,76,90,7.72,PE,1609366105
140,coihaique,-45.58,-72.07,55.4,54,75,14.99,CL,1609366105
141,sept-iles,50.2,-66.38,12.2,72,59,6.93,CA,1609365961
142,javanrud,34.8,46.52,36.0,76,0,3.74,IR,1609366106
143,flin flon,54.77,-101.86,6.8,84,75,4.7,CA,1609366107
144,paamiut,61.99,-49.67,33.73,84,100,5.91,GL,1609366107
145,ostrovnoy,68.05,39.51,11.57,94,76,12.53,RU,1609366107
146,lindsay,36.2,-119.09,55.99,62,1,5.82,US,1609366107
147,oistins,13.07,-59.53,80.6,78,40,5.82,BB,1609366028
148,nioro,13.35,-15.75,75.83,45,0,5.91,GM,1609366108
149,laguna,38.42,-121.42,57.99,58,5,9.17,US,1609366108
150,umm lajj,25.02,37.27,73.36,69,0,8.41,SA,1609366109
151,gazanjyk,39.24,55.52,30.2,94,0,11.7,TM,1609366109
152,oyem,1.6,11.58,69.89,92,98,2.46,GA,1609366109
153,kalispell,48.2,-114.31,28.4,86,90,2.93,US,1609366109
154,garden city,42.33,-83.33,44.6,81,90,17.22,US,1609366110
155,canatlan,24.52,-104.78,53.01,62,14,18.01,MX,1609366110
156,aipe,3.22,-75.24,83.61,64,54,4.68,CO,1609366110
157,bardiyah,31.76,25.09,58.19,63,0,6.53,LY,1609366111
158,estrela,-28.06,-50.94,71.31,83,11,2.86,BR,1609366111
159,eureka,40.8,-124.16,52.0,80,100,5.99,US,1609365830
160,mehamn,71.04,27.85,28.4,63,0,12.75,NO,1609366111
161,aklavik,68.22,-135.01,-14.8,83,90,3.36,CA,1609366111
162,hilo,19.73,-155.09,80.6,57,1,6.93,US,1609365972
163,henties bay,-22.12,14.28,64.99,86,100,6.91,NA,1609366112
164,trelew,-43.25,-65.31,64.85,36,56,11.97,AR,1609366021
165,nantucket,41.28,-70.1,41.0,65,20,19.46,US,1609366081
166,dingle,11.0,122.67,76.35,88,99,7.27,PH,1609366113
167,egvekinot,66.32,-179.17,-1.25,93,100,14.38,RU,1609366113
168,port elizabeth,-33.92,25.57,64.4,88,0,6.93,ZA,1609366114
169,puerto escondido,15.85,-97.07,84.2,70,20,9.17,MX,1609366114
170,montepuez,-13.13,39.0,68.76,97,100,3.15,MZ,1609366114
171,jizan,17.33,42.67,78.8,78,0,8.05,SA,1609365963
172,luleburgaz,41.4,27.36,48.2,93,40,4.7,TR,1609366114
173,leshukonskoye,64.9,45.76,6.82,95,100,6.91,RU,1609366115
174,bexhill,-28.77,153.35,73.4,88,90,5.82,AU,1609366115
175,soyo,-6.13,12.37,78.84,89,100,8.01,AO,1609366115
176,charlestown,-32.95,151.67,72.0,97,98,11.74,AU,1609366116
177,iracoubo,5.48,-53.2,78.85,84,100,5.53,GF,1609366116
178,birjand,32.87,59.22,26.6,32,0,6.93,IR,1609365836
179,andenes,69.31,16.12,35.01,77,34,4.7,NO,1609366117
180,robinson,31.47,-97.11,48.2,93,90,17.22,US,1609366117
181,boende,-0.22,20.87,73.04,95,100,2.17,CD,1609366117
182,buraydah,26.33,43.98,57.2,87,20,8.05,SA,1609366118
183,zelenogorskiy,55.03,87.0,10.4,85,90,6.71,RU,1609366118
184,agadez,19.75,10.25,62.69,27,0,7.61,NE,1609366118
185,coahuayana,18.73,-103.68,73.4,56,20,6.17,MX,1609366118
186,marsa matruh,31.35,27.25,55.4,82,0,4.47,EG,1609366118
187,stornoway,58.21,-6.39,37.4,93,18,9.17,GB,1609366119
188,zhanakorgan,43.91,67.25,17.4,90,0,5.19,KZ,1609366119
189,sambava,-14.27,50.17,74.89,85,0,9.62,MG,1609366119
190,vila velha,-20.33,-40.29,80.6,69,0,17.22,BR,1609365840
191,bilma,18.69,12.92,63.99,24,0,6.24,NE,1609366120
192,dumas,35.87,-101.97,44.01,27,1,6.93,US,1609366120
193,muzhi,65.37,64.67,-23.31,87,95,5.55,RU,1609366120
194,cauquenes,-35.97,-72.32,79.83,17,0,16.71,CL,1609366052
195,salalah,17.02,54.09,71.6,60,0,2.24,OM,1609365858
196,slave lake,55.28,-114.77,14.0,78,1,4.7,CA,1609365994
197,puerto baquerizo moreno,-0.9,-89.6,78.8,83,20,13.87,EC,1609366121
198,whitley bay,55.04,-1.45,30.99,86,75,5.82,GB,1609366122
199,gorodishche,48.8,44.47,24.8,92,90,8.95,RU,1609366017
200,saint-francois,46.42,3.91,37.99,89,90,4.7,FR,1609366122
201,mutare,-18.97,32.67,64.92,98,100,4.32,ZW,1609366122
202,dawson creek,55.77,-120.24,21.2,79,1,1.16,CA,1609366122
203,sitka,57.05,-135.33,39.2,93,20,5.82,US,1609366123
204,ngama,11.78,17.17,76.5,21,3,10.6,TD,1609366123
205,pesochnoye,58.01,39.18,21.9,97,100,9.01,RU,1609366123
206,oranjemund,-28.55,16.43,62.87,89,1,12.01,NA,1609366123
207,madhugiri,13.66,77.21,65.17,92,63,7.9,IN,1609366124
208,ambilobe,-13.2,49.05,72.93,92,91,2.19,MG,1609366124
209,kahului,20.89,-156.47,84.2,45,20,23.04,US,1609366082
210,beli manastir,45.77,18.6,42.01,100,40,4.7,HR,1609366125
211,san andres,12.58,-81.7,84.2,74,20,10.29,CO,1609366125
212,port blair,11.67,92.75,79.9,75,69,11.65,IN,1609366125
213,sal rei,16.18,-22.92,71.6,78,75,14.99,CV,1609366126
214,bengkulu,-3.8,102.27,75.13,84,100,4.97,ID,1609366126
215,richards bay,-28.78,32.04,73.76,86,73,4.97,ZA,1609366126
216,ancud,-41.87,-73.82,60.01,62,75,6.93,CL,1609366127
217,kautokeino,69.01,23.04,19.76,96,99,6.73,NO,1609366128
218,kjopsvik,68.1,16.37,35.01,69,75,17.22,NO,1609366128
219,posse,-14.09,-46.37,75.58,67,73,4.92,BR,1609365917
220,sanawad,22.18,76.07,50.0,57,58,10.29,IN,1609366128
221,casablanca,33.59,-7.62,55.0,100,20,5.82,MA,1609366128
222,nuuk,64.18,-51.72,32.0,97,90,2.24,GL,1609366129
223,muravlenko,63.79,74.52,-21.28,88,22,6.98,RU,1609366129
224,nadym,65.53,72.52,-19.26,88,73,5.17,RU,1609366129
225,olafsvik,64.89,-23.71,32.18,91,6,7.45,IS,1609366130
226,klaksvik,62.23,-6.59,37.4,77,99,19.46,FO,1609366130
227,tigzirt,36.89,4.12,50.72,70,29,11.39,DZ,1609366130
228,tharad,24.4,71.63,51.1,43,0,11.41,IN,1609365906
229,palmer,42.16,-72.33,35.6,55,75,9.17,US,1609366130
230,berlevag,70.86,29.09,26.6,58,0,10.29,NO,1609366131
231,narsaq,60.92,-46.05,26.6,58,90,3.36,GL,1609366131
232,shelburne,44.08,-80.2,37.99,100,100,18.9,CA,1609366131
233,marsh harbour,26.54,-77.06,72.91,73,49,22.57,BS,1609366131
234,ahuimanu,21.44,-157.84,82.4,57,40,12.75,US,1609366132
235,helena,46.59,-112.04,33.8,40,90,3.36,US,1609366132
236,vardo,70.37,31.11,26.6,86,75,12.75,NO,1609366132
237,vila franca do campo,37.72,-25.43,55.4,76,20,8.05,PT,1609366133
238,shahpur,16.7,76.83,65.97,81,60,6.8,IN,1609366134
239,zabid,14.2,43.32,77.18,66,0,4.9,YE,1609366134
240,tartus,34.89,35.89,55.4,50,0,6.93,SY,1609366134
241,gewane,10.17,40.65,73.47,49,0,6.67,ET,1609366135
242,san carlos de bariloche,-41.15,-71.31,55.4,50,40,31.09,AR,1609366135
243,zyryanovsk,49.74,84.27,7.68,94,100,0.51,KZ,1609366135
244,benjamin constant,-4.38,-70.03,87.8,62,0,2.24,BR,1609366135
245,biltine,14.53,20.92,72.63,26,0,6.67,TD,1609366136
246,pangnirtung,66.15,-65.71,12.2,72,90,11.41,CA,1609366136
247,puerto leguizamo,-0.19,-74.78,87.85,59,94,2.15,CO,1609366136
248,kodiak,57.79,-152.41,39.2,69,75,4.7,US,1609366136
249,vestmannaeyjar,63.44,-20.27,32.95,84,0,11.9,IS,1609366136
250,oia,40.54,-8.54,43.0,90,26,4.52,PT,1609366137
251,hofn,64.25,-15.21,26.69,84,0,12.82,IS,1609366137
252,medicine hat,50.05,-110.67,32.0,92,40,11.41,CA,1609365886
253,obo,5.4,26.49,74.07,38,5,2.62,CF,1609366137
254,whitehorse,60.72,-135.05,19.0,92,90,3.36,CA,1609366005
255,belmonte,-15.86,-38.88,77.0,73,20,5.82,BR,1609366138
256,areka,7.07,37.7,65.77,62,93,4.7,ET,1609366138
257,loralai,30.37,68.6,35.47,58,9,1.5,PK,1609365918
258,rosita,13.93,-84.4,77.86,92,93,1.48,NI,1609366138
259,lagoa,39.05,-27.98,58.8,76,100,18.37,PT,1609366139
260,timra,62.49,17.33,33.01,100,100,5.82,SE,1609366139
261,homer,59.64,-151.55,37.0,93,90,9.17,US,1609366139
262,moose factory,51.26,-80.61,21.2,85,90,3.36,CA,1609366139
263,jacareacanga,-6.22,-57.75,76.35,90,75,1.23,BR,1609366139
264,brigantine,39.41,-74.36,44.6,73,1,12.75,US,1609366140
265,kollam,8.88,76.6,82.4,83,40,1.12,IN,1609366140
266,shepsi,44.04,39.15,54.39,60,20,3.02,RU,1609366140
267,luis moya,22.43,-102.25,62.6,17,5,23.04,MX,1609366140
268,nalut,30.33,10.85,49.69,45,0,8.03,LY,1609366141
269,korla,41.76,86.15,14.79,84,0,3.85,CN,1609366141
270,petatlan,17.52,-101.27,84.2,70,5,9.17,MX,1609366141
271,fairbanks,64.84,-147.72,12.0,83,75,3.44,US,1609365914
272,yarada,17.65,83.27,66.2,100,0,2.24,IN,1609366142
273,ornskoldsvik,63.29,18.72,28.4,100,90,5.82,SE,1609366142
274,adrar,20.5,-10.07,73.74,33,2,6.98,MR,1609366142
275,kailua,21.4,-157.74,82.4,57,40,12.75,US,1609366142
276,carauari,-4.88,-66.9,78.82,93,71,2.86,BR,1609366143
277,vilhena,-12.74,-60.15,78.8,74,75,8.05,BR,1609366143
278,lashma,54.93,41.14,25.29,98,100,7.87,RU,1609366010
279,altar,30.7,-111.82,63.0,28,0,8.99,MX,1609366143
280,kahama,-3.83,32.6,66.74,79,100,2.3,TZ,1609366144
281,la ronge,55.1,-105.28,10.4,85,100,1.19,CA,1609366144
282,calama,-22.47,-68.93,73.4,35,40,25.28,CL,1609365847
283,choctaw,35.5,-97.27,39.99,64,1,17.22,US,1609366144
284,atikokan,48.76,-91.62,17.02,95,100,9.37,CA,1609366145
285,allonnes,47.97,0.16,42.8,93,90,8.05,FR,1609366145
286,sabancuy,18.97,-91.18,82.74,61,15,2.59,MX,1609366145
287,veraval,20.9,70.37,63.16,38,5,13.2,IN,1609366145
288,mongoumba,3.64,18.59,75.02,42,90,2.82,CF,1609366146
289,sabzevar,36.21,57.68,35.04,65,13,5.91,IR,1609366146
290,mahajanga,-15.72,46.32,77.0,83,75,5.82,MG,1609366146
291,kenai,60.55,-151.26,30.0,86,90,10.29,US,1609366147
292,chute-aux-outardes,49.12,-68.4,15.8,72,90,2.24,CA,1609366147
293,yendi,9.44,-0.01,79.65,18,29,4.16,GH,1609366147
294,bemidji,47.47,-94.88,15.8,78,1,11.41,US,1609366116
295,redwater,33.36,-94.25,55.4,87,90,9.17,US,1609366147
296,seidu,9.02,-10.6,71.38,35,0,2.21,SL,1609366148
297,rome,34.26,-85.16,55.4,66,40,10.29,US,1609366104
298,opuwo,-18.06,13.84,71.13,60,100,6.93,NA,1609366149
299,moberly,39.42,-92.44,30.99,79,99,4.0,US,1609366150
300,kaniama,-7.57,24.18,66.79,94,100,2.51,CD,1609366150
